Name,Age,Nationality,Club,Value,International Reputation,Jersey Number,Position,Preferred Foot,Body Type,Joined,Height,Weight,Crossing,Acceleration,SprintSpeed,Agility,Balance,ShotPower,Jumping,Stamina,Strength,Penalties,Overall
G. Chiellini,33,Italy,Juventus,2700000,4,3,LCB,Left,Normal,2005,6'2,187lbs,58,63,75,54,55,78,89,65,89,50,89
K. Mbapp,19,France,Paris Saint-Germain,8100000,3,10,RM,Right,Lean,2018,5'10,161lbs,77,96,96,92,83,79,75,83,71,70,88
M. Salah,26,Egypt,Liverpool,6950000,3,10,RM,Left,Lean,2017,5'9,157lbs,78,94,91,91,88,77,68,84,70,61,88
Casemiro,26,Brazil,Real Madrid,5950000,3,14,CDM,Right,Normal,2013,6'1,185lbs,52,59,65,62,66,86,88,87,89,66,88
J. Rodriguez,26,Colombia,FC Bayern Munchen,6950000,4,10,LAM,Left,Normal,2014,5'11,172lbs,90,73,67,83,76,86,54,70,68,81,88
Isco,26,Spain,Real Madrid,7350000,3,22,LW,Right,Normal,2013,5'9,174lbs,75,75,69,87,90,69,64,70,59,76,88
C. Eriksen,26,Denmark,Tottenham Hotspur,7350000,3,10,CAM,Right,Lean,2013,5'11,168lbs,88,75,73,79,81,84,50,92,58,67,88
Coutinho,26,Brazil,FC Barcelona,6950000,3,7,LW,Right,Normal,2018,5'8,150lbs,79,89,75,92,93,83,59,79,61,70,88
P. Aubameyang,29,Gabon,Arsenal,5900000,3,14,LM,Right,Lean,2018,6'2,176lbs,77,93,95,76,70,82,79,76,76,76,88
M. Hummels,29,Germany,FC Bayern Munchen,4600000,4,5,LCB,Right,Normal,2016,6'3,203lbs,64,53,64,63,60,71,68,66,84,68,88
Marcelo,30,Brazil,Real Madrid,4300000,4,12,LB,Left,Normal,2007,5'9,176lbs,90,83,82,86,86,83,76,91,78,59,88
G. Bale,28,Wales,Real Madrid,6000000,4,11,ST,Left,Lean,2013,6'1,181lbs,87,94,95,82,65,92,87,75,80,76,88
H. Lloris,31,France,Tottenham Hotspur,3600000,4,1,GK,Left,Lean,2012,6'2,181lbs,13,65,62,55,54,23,74,41,43,40,88
Thiago Silva,33,Brazil,Paris Saint-Germain,2400000,4,2,RCB,Right,Normal,2012,6'0,181lbs,60,70,72,68,68,71,90,74,82,60,88
G. Buffon,40,Italy,Paris Saint-Germain,400000,4,1,GK,Right,Normal,2018,6'4,203lbs,13,49,43,55,49,39,75,39,69,22,88
S. Umtiti,24,France,FC Barcelona,5700000,3,23,CB,Left,Normal,2016,6'0,165lbs,69,71,73,68,66,83,89,78,84,61,87
P. Pogba,25,France,Manchester United,6400000,4,6,RDM,Right,Normal,2016,6'4,185lbs,80,71,79,74,64,90,83,88,89,81,87
K. Navas,31,Costa Rica,Real Madrid,3050000,3,1,GK,Right,Normal,2014,6'1,176lbs,11,54,53,60,61,21,74,39,75,25,87
R. Lukaku,25,Belgium,Manchester United,6250000,3,9,ST,Left,Stocky,2017,6'3,207lbs,78,77,90,60,46,88,71,84,94,78,87
Jordi Alba,29,Spain,FC Barcelona,3800000,3,18,LB,Left,Normal,2012,5'7,150lbs,87,93,93,90,85,64,81,91,61,59,87
J. Vertonghen,31,Belgium,Tottenham Hotspur,3400000,3,5,LCB,Left,Normal,2012,6'2,190lbs,68,61,65,61,60,80,85,75,79,66,87
I. Rakitiƒá,30,Croatia,FC Barcelona,4650000,4,4,RCM,Right,Normal,2014,6'0,172lbs,84,66,59,72,66,84,39,84,66,82,87
Piqu,31,Spain,FC Barcelona,3400000,4,3,RCB,Right,Normal,2008,6'4,187lbs,57,49,60,58,36,62,74,65,83,69,87
L. Sana,22,Germany,Manchester City,6100000,2,19,LW,Left,Lean,2016,6'0,165lbs,83,93,96,88,81,86,64,79,70,71,86
Bernardo Silva,23,Portugal,Manchester City,5950000,2,11,RW,Left,Lean,2017,5'8,141lbs,85,84,74,90,88,70,50,78,48,68,86
Ederson,24,Brazil,Manchester City,4150000,2,31,GK,Left,Normal,2017,6'2,190lbs,20,64,63,60,48,42,58,41,68,17,86
S. Mana,26,Senegal,Liverpool,5200000,3,10,LM,Right,Lean,2016,5'9,152lbs,73,95,93,91,86,82,75,84,67,71,86
V. van Dijk,26,Netherlands,Liverpool,4450000,3,4,LCB,Right,Normal,2018,6'4,203lbs,53,74,77,61,49,81,85,71,92,62,86
R. Sterling,23,England,Manchester City,5650000,3,10,RW,Right,Lean,2015,5'7,152lbs,77,95,92,93,93,73,57,78,52,69,86
Roberto Firmino,26,Brazil,Liverpool,5300000,3,9,CAM,Right,Lean,2015,5'11,168lbs,72,78,77,80,81,81,81,90,74,72,86
R. Varane,25,France,Real Madrid,5000000,3,4,RCB,Right,Lean,2011,6'3,179lbs,36,83,85,63,40,52,79,73,84,43,86
M. Verratti,25,Italy,Paris Saint-Germain,5500000,3,6,LCM,Right,Normal,2012,5'5,132lbs,72,69,62,87,94,56,64,77,52,64,86
Alex Sandro,27,Brazil,Juventus,3650000,3,12,LB,Left,Normal,2015,5'11,176lbs,84,83,86,79,78,80,79,92,79,60,86
Douglas Costa,27,Brazil,Juventus,4650000,3,11,LM,Left,Normal,2018,5'8,154lbs,84,97,93,93,91,86,61,78,63,77,86
T. Mueller,28,Germany,FC Bayern Munchen,4500000,4,13,CAM,Right,Lean,2008,6'1,165lbs,79,73,75,75,72,78,81,87,68,60,86
Thiago,27,Spain,FC Bayern Munchen,4550000,3,19,CM,Right,Normal,2013,5'9,154lbs,72,78,69,90,86,75,75,75,59,75,86
M. Reus,29,Germany,Borussia Dortmund,4350000,4,11,LM,Right,Lean,2012,5'11,157lbs,79,86,85,86,81,88,70,73,67,89,86
Azpilicueta,28,Spain,Chelsea,3500000,3,14,RB,Right,Normal,2012,5'10,168lbs,81,76,76,72,73,68,76,87,71,66,86
L. Bonucci,31,Italy,Juventus,3000000,3,19,RCB,Right,Lean,2018,6'3,187lbs,44,57,65,60,52,74,85,71,83,70,86
T. Alderweireld,29,Belgium,Tottenham Hotspur,3900000,3,2,RCB,Right,Normal,2015,6'1,179lbs,64,61,66,60,50,78,84,74,79,58,86
M. Pjaniƒá,28,Bosnia Herzegovina,Juventus,4400000,3,5,CDM,Right,Normal,2016,5'10,159lbs,80,66,66,77,79,78,61,78,66,79,86
M. Benatia,31,Morocco,Juventus,3000000,3,4,CB,Right,Normal,2014,6'2,207lbs,45,65,75,59,53,66,85,69,91,41,86
M. √ñzil,29,Germany,Arsenal,4350000,4,10,CAM,Left,Lean,2013,5'11,168lbs,83,72,69,79,70,70,48,69,57,67,86
Fernandinho,33,Brazil,Manchester City,1800000,3,25,CDM,Right,Lean,2013,5'10,148lbs,68,68,67,72,78,83,76,79,76,61,86
Marco Asensio,22,Spain,Real Madrid,5400000,3,10,RW,Left,Normal,2015,6'0,168lbs,82,85,82,79,76,86,58,76,61,62,85
Alisson,25,Brazil,Liverpool,3650000,3,13,GK,Right,Normal,2018,6'3,201lbs,17,54,45,40,37,21,52,32,78,23,85
J. Kimmich,23,Germany,FC Bayern Munchen,4050000,3,18,RCM,Right,Lean,2015,5'9,154lbs,90,78,68,84,83,75,79,85,65,44,85
Savlo,23,Spain,Atletico Madrid,5050000,3,6,RCM,Left,Lean,2013,6'0,170lbs,69,74,73,76,69,78,79,86,77,55,85
R. Mahrez,27,Algeria,Manchester City,4050000,3,26,RW,Left,Lean,2018,5'10,148lbs,81,88,83,93,88,79,61,76,54,73,85
D. Alaba,26,Austria,FC Bayern Munchen,3800000,4,8,LB,Left,Lean,2010,5'11,168lbs,81,79,86,79,77,83,82,87,71,80,85
Koke,26,Spain,Atletico Madrid,4500000,3,8,LM,Right,Normal,2011,5'9,163lbs,86,71,68,74,78,84,61,90,79,59,85
A. Lacazette,27,France,Arsenal,4500000,3,9,ST,Right,Normal,2017,5'9,161lbs,64,81,84,85,85,83,76,79,73,84,85
N. Otamendi,30,Argentina,Manchester City,2850000,3,30,CB,Right,Normal,2015,6'0,179lbs,52,57,61,64,62,69,92,67,80,45,85
W. Szczƒôsny,28,Poland,Juventus,3200000,3,1,GK,Right,Lean,2017,6'5,198lbs,12,51,47,55,51,15,71,45,65,18,85
A. Sanchez,29,Chile,Manchester United,3750000,4,7,RW,Right,Normal,2018,5'7,163lbs,77,86,79,90,87,84,87,83,72,77,85
J. Boateng,29,Germany,FC Bayern Munchen,3000000,4,17,RCB,Right,Stocky,2011,6'4,198lbs,69,67,72,56,52,78,74,69,91,46,85
A. Vidal,31,Chile,FC Barcelona,2600000,4,8,CAM,Right,Normal,2018,5'11,165lbs,76,60,55,74,75,86,85,83,79,81,85
S. Khedira,31,Germany,Juventus,3300000,3,6,RCM,Right,Normal,2015,6'2,198lbs,72,54,60,55,54,82,68,78,87,69,85
Diego Costa,29,Spain,Atletico Madrid,3850000,4,19,LS,Right,Normal,2018,6'2,190lbs,65,74,76,58,53,83,64,76,92,75,85
B. Matuidi,31,France,Juventus,2600000,3,14,LM,Left,Lean,2017,5'11,165lbs,75,79,77,83,79,78,84,94,76,56,85
K. Benzema,30,France,Real Madrid,3700000,4,9,ST,Right,Normal,2009,6'1,179lbs,75,76,76,76,66,81,73,75,80,82,85
Filipe Luis,32,Brazil,Atletico Madrid,2150000,3,3,LB,Left,Lean,2015,6'0,163lbs,86,76,75,75,62,71,71,89,74,65,85
V. Kompany,32,Belgium,Manchester City,2200000,4,4,CB,Right,Normal,2008,6'3,187lbs,61,52,59,57,41,75,72,66,87,63,85
D. Sanchez,22,Colombia,Tottenham Hotspur,3400000,2,23,RCB,Right,Normal,2017,6'2,174lbs,36,72,79,60,55,66,73,76,83,44,84
J. Giminez,23,Uruguay,Atletico Madrid,3400000,2,24,RCB,Right,Normal,2013,6'1,176lbs,47,69,70,56,43,72,92,67,85,38,84
A. Laporte,24,France,Manchester City,3400000,2,14,LCB,Left,Normal,2018,6'2,187lbs,58,62,66,45,55,68,75,67,82,44,84
N. Saule,22,Germany,FC Bayern Munchen,3650000,2,15,CB,Right,Stocky,2017,6'5,214lbs,30,52,84,33,33,77,38,65,94,32,84
A. Martial,22,France,Manchester United,4250000,3,11,LW,Right,Normal,2015,6'0,168lbs,76,88,89,85,81,84,74,75,75,81,84
D. Alli,22,England,Tottenham Hotspur,4250000,3,20,LCM,Right,Lean,2015,6'2,176lbs,69,73,76,76,62,78,67,90,71,74,84
Fabinho,24,Brazil,Liverpool,3400000,3,3,CDM,Right,Lean,2018,6'2,172lbs,79,69,72,69,67,78,75,92,79,91,84
Marquinhos,24,Brazil,Paris Saint-Germain,3550000,3,5,LDM,Right,Lean,2013,6'0,165lbs,72,73,76,69,68,53,86,75,74,31,84
Jorginho,26,Italy,Chelsea,3800000,2,8,CM,Right,Lean,2018,5'11,148lbs,75,75,69,80,73,71,58,79,66,84,84
Carvajal,26,Spain,Real Madrid,3150000,3,2,RB,Right,Stocky,2013,5'8,161lbs,83,79,84,81,79,64,76,84,74,45,84
H. Son,25,Korea Republic,Tottenham Hotspur,3700000,3,7,LM,Right,Lean,2015,6'0,143lbs,78,88,87,82,76,86,63,85,63,71,84
M. Perin,25,Italy,Juventus,2950000,2,22,GK,Right,Lean,2018,6'2,170lbs,11,57,56,70,30,23,75,30,52,21,84
J. Cuadrado,30,Colombia,Juventus,2950000,3,11,RAM,Right,Lean,2015,5'10,159lbs,80,89,93,91,82,84,75,78,61,65,84
Iago Aspas,30,Spain,RC Celta,3000000,2,17,ST,Left,Lean,2015,5'9,148lbs,80,85,78,87,74,79,68,75,60,82,84
B. Leno,26,Germany,Arsenal,2700000,3,12,GK,Right,Normal,2018,6'3,183lbs,9,46,52,52,44,23,73,43,68,23,84
N. Matiƒá,29,Serbia,Manchester United,2400000,3,31,CDM,Left,Lean,2017,6'4,187lbs,71,52,59,44,50,83,67,84,85,64,84
K. Walker,28,England,Manchester City,2450000,3,2,RB,Right,Normal,2017,6'0,154lbs,81,86,93,67,72,86,83,89,75,63,84
I. Gundoƒüan,27,Germany,Manchester City,3200000,3,21,CM,Right,Normal,2016,5'11,176lbs,74,67,68,78,78,77,61,69,72,76,84
A. Di Maravia,30,Argentina,Paris Saint-Germain,2950000,4,11,RM,Left,Lean,2015,5'11,152lbs,83,85,84,92,77,83,72,73,60,73,84
M. Mandaukiƒá,32,Croatia,Juventus,2500000,3,17,ST,Right,Lean,2015,6'3,187lbs,72,67,73,67,53,80,85,83,85,76,84
Willian,29,Brazil,Chelsea,3050000,3,22,RW,Right,Lean,2013,5'9,172lbs,76,91,86,89,79,79,41,85,60,70,84
A. Witsel,29,Belgium,Borussia Dortmund,2400000,3,6,LCM,Right,Lean,2018,6'2,179lbs,69,67,74,78,60,78,76,86,82,81,84
Sokratis,30,Greece,Arsenal,2300000,3,19,RCB,Right,Normal,2018,6'1,187lbs,47,64,73,60,64,77,86,69,86,24,84
A. Barzagli,37,Italy,Juventus,420000,3,15,CB,Right,Normal,2011,6'2,192lbs,40,61,77,52,64,54,81,53,83,60,84
A. Robben,34,Netherlands,FC Bayern Munchen,1550000,4,10,RM,Left,Normal,2009,5'11,176lbs,80,83,76,87,90,86,60,64,67,78,84
O. Dembolo,21,France,FC Barcelona,4000000,3,11,RW,Left,Lean,2017,5'10,148lbs,78,93,92,90,85,83,59,73,46,75,83
Gabriel Jesus,21,Brazil,Manchester City,4100000,2,33,ST,Right,Normal,2016,5'9,161lbs,66,87,85,92,91,78,77,84,68,78,83
P. Kimpembe,22,France,Paris Saint-Germain,3050000,2,3,LCB,Left,Normal,2015,6'2,176lbs,62,75,78,74,65,55,77,80,84,50,83
N. Keota,23,Guinea,Liverpool,3400000,2,8,CM,Right,Lean,2018,5'8,141lbs,62,78,60,89,90,76,53,82,58,58,83
C. Tolisso,23,France,FC Bayern Munchen,3400000,2,24,CM,Right,Normal,2017,5'11,179lbs,67,75,66,75,74,82,90,87,77,70,83
T. Lemar,22,France,Atletico Madrid,3550000,3,8,LM,Left,Lean,2018,5'7,137lbs,83,86,84,87,86,79,71,79,63,68,83
K. Coman,22,France,FC Bayern Munchen,3400000,2,29,LM,Right,Lean,2015,5'10,157lbs,81,95,93,87,84,77,75,76,61,70,83
A. Rabiot,23,France,Paris Saint-Germain,3300000,2,25,CM,Left,Lean,2012,6'4,176lbs,70,73,74,79,72,80,73,82,80,69,83
L. Goretzka,23,Germany,FC Bayern Munchen,3400000,3,14,CM,Right,Lean,2018,6'2,174lbs,75,84,79,76,70,77,67,86,70,60,83
Lucas vizquez,27,Spain,Real Madrid,2700000,2,17,RW,Right,Normal,2015,5'8,154lbs,86,84,79,79,84,82,68,90,57,56,83
M. Kovaƒcifa,24,Croatia,Chelsea,3500000,3,17,LCM,Right,Normal,2012,5'9,172lbs,73,84,74,81,85,79,63,82,65,59,83
Kepa,23,Spain,Chelsea,2850000,1,13,GK,Right,Lean,2018,6'1,187lbs,25,34,33,41,39,25,71,37,51,24,83
S. Gnabry,22,Germany,FC Bayern Munchen,3450000,2,6,ST,Right,Normal,2017,5'9,165lbs,74,92,90,87,88,85,64,68,68,68,83
J. Pickford,24,England,Everton,2500000,1,1,GK,Left,Normal,2017,6'1,170lbs,17,53,44,55,55,31,72,45,70,41,83
S. Saviƒá,27,Montenegro,Atletico Madrid,2600000,2,15,CB,Right,Lean,2015,6'2,174lbs,35,55,61,61,49,43,87,58,77,37,83
J. Stones,24,England,Manchester City,2850000,2,5,RCB,Right,Lean,2016,6'2,154lbs,62,67,71,61,59,46,75,79,77,44,83
J. Draxler,24,Germany,Paris Saint-Germain,3250000,3,7,CM,Right,Lean,2017,6'2,170lbs,83,78,77,80,75,86,75,69,66,63,83
Lucas Moura,25,Brazil,Tottenham Hotspur,3100000,3,27,RM,Right,Normal,2018,5'9,154lbs,75,94,90,94,90,79,77,75,59,74,83
Nacho Fernandez,28,Spain,Real Madrid,2450000,2,12,CB,Right,Normal,2010,5'11,168lbs,70,70,79,60,68,54,81,78,79,45,83
Sergi Roberto,26,Spain,FC Barcelona,2650000,3,20,RB,Right,Normal,2013,5'10,150lbs,85,78,79,69,74,65,47,85,69,57,83
I. Gueye,28,Senegal,Everton,2100000,2,17,RDM,Right,Lean,2016,5'9,146lbs,60,76,72,80,80,80,87,89,70,54,83
H. Mkhitaryan,29,Armenia,Arsenal,2550000,3,7,RM,Right,Normal,2018,5'10,165lbs,77,84,78,87,85,85,69,83,62,72,83
Marcos Alonso,27,Spain,Chelsea,2400000,2,3,LB,Left,Lean,2016,6'2,192lbs,85,69,76,64,58,84,71,90,76,64,83
David Luiz,31,Brazil,Chelsea,1750000,4,30,LCB,Right,Normal,2016,6'2,190lbs,68,59,62,69,56,79,78,66,79,75,83
Juan Mata,30,Spain,Manchester United,2450000,3,8,RM,Left,Lean,2014,5'7,139lbs,83,69,62,84,89,75,70,71,37,81,83
Adan,31,Spain,Atletico Madrid,1550000,2,1,GK,Left,Normal,2018,6'3,203lbs,12,56,54,55,51,25,71,32,77,25,83
Rui Patr√≠cio,30,Portugal,Wolverhampton Wanderers,1650000,3,1,GK,Left,Normal,2018,6'3,185lbs,12,53,57,61,54,38,79,45,77,32,83
Javi Mart√≠nez,29,Spain,FC Bayern Munchen,2000000,3,8,CDM,Right,Normal,2012,6'4,190lbs,60,49,53,53,48,76,85,74,84,52,83
Cesc F√†bregas,31,Spain,Chelsea,2200000,4,4,CM,Right,Normal,2014,5'10,170lbs,85,56,54,62,75,77,63,56,61,78,83
M. Dembolo,30,Belgium,Tottenham Hotspur,2400000,3,19,CM,Left,Normal,2012,6'1,181lbs,65,72,72,79,76,81,75,70,89,63,83
F. Ribary,35,France,FC Bayern Munchen,1150000,4,7,LM,Right,Normal,2007,5'7,159lbs,80,78,78,84,90,75,34,58,60,78,83
Rodri,22,Spain,Atletico Madrid,2900000,1,16,CM,Right,Lean,2018,6'3,181lbs,63,70,66,69,72,70,69,86,75,46,82
Arthur,21,Brazil,FC Barcelona,3250000,1,8,LCM,Right,Normal,2018,5'7,161lbs,70,68,70,79,86,76,83,78,62,69,82
Gelson Martins,23,Portugal,Atletico Madrid,2950000,3,18,RM,Right,Lean,2018,5'8,159lbs,81,95,94,94,92,72,65,87,48,66,82
L. Torreira,22,Uruguay,Arsenal,2500000,2,14,LCM,Right,Normal,2018,5'6,141lbs,74,81,74,83,93,78,52,85,66,48,82
Malcom,21,Brazil,FC Barcelona,3150000,2,14,RW,Left,Normal,2018,5'8,163lbs,79,87,82,92,84,85,58,74,64,68,82
L. Hern√°ndez,22,France,Atletico Madrid,2550000,1,21,LB,Left,Normal,2015,6'0,168lbs,78,80,84,70,67,62,83,82,76,34,82
C. Lenglet,23,France,FC Barcelona,2600000,1,15,LCB,Left,Lean,2018,6'1,179lbs,36,72,73,62,60,58,79,73,80,43,82
A. Robertson,24,Scotland,Liverpool,2450000,1,3,LB,Left,Lean,2017,5'10,141lbs,86,81,86,78,74,67,59,89,66,55,82
F. Bernardeschi,24,Italy,Juventus,2950000,2,20,RM,Left,Lean,2017,6'1,170lbs,82,83,83,85,79,82,49,80,63,72,82
D. Rugani,23,Italy,Juventus,2450000,2,15,CB,Right,Lean,2015,6'3,185lbs,40,56,67,59,53,58,81,67,79,36,82
Jojo Cancelo,24,Portugal,Juventus,2550000,2,2,RB,Right,Lean,2018,6'0,163lbs,85,91,91,78,74,80,73,89,66,46,82
T. Partey,25,Ghana,Atletico Madrid,2550000,1,5,CDM,Right,Lean,2015,6'1,170lbs,58,73,76,72,53,79,84,87,81,46,82
Fred,25,Brazil,Manchester United,2650000,1,17,CM,Left,Lean,2018,5'7,141lbs,67,77,79,84,87,76,83,87,61,65,82
J. Lingard,25,England,Manchester United,2650000,2,7,CAM,Right,Lean,2010,5'9,137lbs,74,84,82,86,86,80,63,87,53,65,82
A. R√ºdiger,25,Germany,Chelsea,2250000,2,16,CB,Right,Lean,2017,6'3,187lbs,68,67,78,59,50,70,73,60,82,40,82
T. Meunier,26,Belgium,Paris Saint-Germain,2100000,2,15,RM,Right,Normal,2016,6'3,198lbs,83,74,81,63,49,77,72,92,85,65,82
Rafinha,25,Brazil,FC Barcelona,2950000,2,12,CAM,Left,Normal,2013,5'9,157lbs,72,71,70,80,80,79,73,67,66,67,82
Morata,25,Spain,Chelsea,2850000,3,7,ST,Right,Normal,2017,6'2,187lbs,73,76,86,66,60,80,84,68,78,70,82
J. Cillessen,29,Netherlands,FC Barcelona,1800000,3,1,GK,Right,Normal,2016,6'1,183lbs,17,54,50,48,50,35,71,40,67,21,82
T. Delaney,26,Denmark,Borussia Dortmund,2150000,2,8,LCM,Left,Normal,2018,6'0,174lbs,67,76,78,73,74,78,91,90,79,60,82
M. Gotze,26,Germany,Borussia Dortmund,2700000,4,10,CM,Right,Normal,2016,5'9,165lbs,78,74,64,86,85,68,58,73,68,77,82
S. Mustafi,26,Germany,Arsenal,2250000,3,20,RCB,Right,Normal,2016,6'0,181lbs,53,58,65,63,67,66,83,68,78,54,82
Pedro,30,Spain,Chelsea,2100000,3,11,RW,Right,Lean,2015,5'7,143lbs,78,79,74,82,80,77,66,70,47,66,82
R. Borrki,27,Switzerland,Borussia Dortmund,1850000,3,21,GK,Right,Normal,2015,6'2,187lbs,15,44,54,49,52,22,74,36,74,20,82
A. Ramsey,27,Wales,Arsenal,2500000,3,10,CAM,Right,Lean,2008,6'0,168lbs,75,64,69,73,74,81,66,89,67,75,82
K. Trippier,27,England,Tottenham Hotspur,1850000,2,12,RB,Right,Normal,2015,5'10,159lbs,91,76,75,74,74,75,73,88,65,66,82
G. Sigursson,28,Iceland,Everton,2250000,3,10,CAM,Right,Normal,2017,6'1,181lbs,86,58,55,68,63,83,68,86,68,79,82
J. Henderson,28,England,Liverpool,1800000,2,8,RCM,Right,Normal,2011,6'0,176lbs,81,67,66,70,70,77,79,91,72,64,82
G. Wijnaldum,27,Netherlands,Liverpool,1250000,3,8,CAM,Right,Lean,2016,5'9,152lbs,67,77,76,80,81,76,80,85,72,74,82
O. Giroud,31,France,Chelsea,2000000,3,9,ST,Left,Normal,2018,6'4,203lbs,64,43,50,57,54,85,84,62,88,83,82
L. Koscielny,32,France,Arsenal,1250000,3,6,CB,Right,Lean,2010,6'1,165lbs,52,64,66,65,61,54,78,62,75,51,82
Dani Alves,35,Brazil,Paris Saint-Germain,480000,4,13,RB,Right,Normal,2017,5'8,150lbs,85,77,79,84,87,86,80,74,55,70,82
P. ƒåech,36,Czech Republic,Arsenal,300000,4,1,GK,Left,Normal,2015,6'5,198lbs,19,35,38,46,34,21,50,32,63,23,82
M. Rashford,20,England,Manchester United,2700000,2,11,LW,Right,Lean,2014,6'1,154lbs,75,90,93,88,77,87,68,79,71,74,81
M. Akanji,22,Switzerland,Borussia Dortmund,2100000,2,5,LCB,Right,Normal,2018,6'2,187lbs,51,72,86,69,66,58,78,76,84,40,81
Nellson Semedo,24,Portugal,FC Barcelona,2000000,2,2,RB,Right,Lean,2017,5'10,148lbs,74,91,92,88,83,74,80,91,62,38,81
E. Bailly,24,Ivory Coast,Manchester United,2100000,2,2,CB,Right,Normal,2016,6'1,170lbs,51,68,79,65,62,55,85,72,85,46,81
Dani Ceballos,21,Spain,Real Madrid,2500000,1,21,LCM,Right,Normal,2017,5'10,154lbs,74,73,67,82,79,64,52,75,62,55,81
A. Correa,23,Argentina,Atletico Madrid,2450000,1,11,RM,Right,Lean,2014,5'7,150lbs,74,87,82,87,83,80,50,74,63,55,81
A. Christensen,22,Denmark,Chelsea,2150000,2,6,LCB,Right,Lean,2013,6'2,179lbs,49,66,70,61,61,31,72,69,73,36,81
R. Guerreiro,24,Portugal,Borussia Dortmund,2400000,3,13,LM,Left,Normal,2016,5'7,157lbs,85,82,68,88,86,79,63,72,49,44,81
B. Davies,25,Wales,Tottenham Hotspur,1850000,2,4,LB,Left,Lean,2014,6'0,168lbs,83,76,74,70,68,65,73,85,69,54,81
B. Mendy,23,France,Manchester City,2000000,2,22,LB,Left,Normal,2017,6'1,187lbs,87,77,86,68,70,79,71,81,81,50,81
